objectid,sector,time,location,source,cars,trucks,motorcycle,bicycle,publictransport,pedestrian,other,placename,photo,video,photo_link,video_link,day_night,raion,comuna,localitate,year,month,hour,weekday,day_part,location_trasee,street,tipul,cauza,decedati,traumati
1305,Rîşcani,5/9/2019 12:19,strada Bogdan Voievod,facebook: gbm,2,0,0,0,0,0,0,Chisinau,http://static.cdn.jurnaltv.md/superdesk/20190509150512/a8939859-5095-43a4-9986-0de328ffa460.jpg, ,http://static.cdn.jurnaltv.md/superdesk/20190509150512/a8939859-5095-43a4-9986-0de328ffa460.jpg,,0,,,,0,,0,0,,,,3.1,Nerespectarea distanţei dintre vehicule,0,0
1306,Rîşcani,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Nicolai Dimo,,,0,0
1307,Rîşcani,4/24/2018 7:45,Strada Bogdan Voievod - Strada Kiev,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2018,4,7,1,dimineata,,Strada Bogdan Voievod,,,0,0
1308,Rîşcani,1/25/2018 6:30,"Strada Tudor Vladimirescu, Trosonul: Strada Dumitru Râşcanu - Strada Aerodromului",waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2018,1,6,3,noapte,,Strada Tudor Vladimirescu,,,0,0
1309,Rîşcani,12/28/2017 18:15,Strada Bogdan Voievod în apropiere de Sensul Giratoriu Bulevardul Moscova,Royal Map,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,1,Chişinău,Chişinău,Chişinău,2017,12,18,3,ziua,,Strada Bogdan Voievod,,,0,0
1310,Rîşcani,9/23/2019 4:55,Riscani,echipa.md,1,0,0,0,1,0,0,Chisinau, , ,,,0,,,,0,,0,0,,,,3.4,Neacordarea priorităţii altor autovehicule,0,0
1311,Rîşcani,12/6/2017 12:00,Strada Bogdan Voievod - Strada Kiev,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,12,12,2,ziua,,Strada Bogdan Voievod,,,0,0
1312,Rîşcani,12/6/2017 15:45,Strada Bogdan Voievod - Strada Kiev,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,12,15,2,ziua,,Strada Bogdan Voievod,,,0,0
1313,Rîşcani,12/22/2017 13:00,Strada Bogdan Voievod în apropiere de Sensul Giratoriu Bulevardul Moscova,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,12,13,4,ziua,,Strada Bogdan Voievod,,,0,0
1314,Rîşcani,2/6/2018 11:45,Bulevadul Moscova - Strada Bogdan Voievod,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2018,2,11,1,ziua,,Strada Bogdan Voievod,,,0,0
1315,Rîşcani,6/6/2019 14:34, , ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,11,0,0,,,,,,0,0
1316,Rîşcani,1/2/2018 15:30,"Strada Kiev, în apropiere de Sensul Giratoriu Bulevardul Moscova",waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2018,1,15,1,ziua,,Strada Kiev,,,0,0
1317,Alte,12/5/2017 12:00,Traseul R13 - Strada  Aerodromului,tv8.md,1,0,0,0,0,1,0,Bălţi,Lipseşte,Lipseşte,http://tv8.md/2017/12/07/un-politist-a-tamponat-mortal-un-barbat-la-intrarea-in-municipiul-balti/,,0,Bălţi,Bălţi,Bălţi,2017,12,12,1,ziua,Chișinău - Orhei - Bălți,,,,0,0
1318,Rîşcani,2/27/2018 13:23,str. Bogdan Voievod 1/3, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Bogdan Voievod,Tamponarea pietonilor aflati pe spatiile destinate acestora,Neacordarea prioritatii pietonilor,0,1
1319,Rîşcani,3/12/2018 14:50,str. Kiev 11, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Kiev,Tamponarea pietonilor aflati pe spatiile destinate acestora,Neacordarea prioritatii pietonilor,0,1
1320,Rîşcani,3/20/2018 8:00,str. Andrei Doga 30, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Andrei Doga,Tamponarea pietonilor aflati pe spatiile destinate acestora,Viteza neadecvata conditiilor situatiei rutiere,0,1
1321,Buiucani,2/27/2018 16:03,str. Calea Ghidighiciului 1, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,M1 - drumul de acces spre s. Ghidighici,,Ciocnire fata in spate,Nerespectarea distantei dintre vehicule,0,2
1322,Rîşcani,11/23/2017 6:30,Strada Florilor - Strda Bogdan Voievod,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,11,6,3,dimineata,,,,,0,0
1323,Alte,12/8/2017 6:30,"Traseul R1, în apropiere de Satul Cojuşna",protv.md,10,0,0,0,0,0,0,Străşeni,http://assets.protv.md/articles/files/thumbs/650x/4754651.jpg,http://m.protv.md/mobile/2094401.mp4,http://protv.md/stiri/actualitate/grav-accident-la-cojusna-cateva-masini-implicate-totul-din-cauza---2094401.html,http://protv.md/stiri/actualitate/grav-accident-la-cojusna-cateva-masini-implicate-totul-din-cauza---2094401.html,0,Străşeni,Cojuşna,,2017,12,6,4,dimineata,Chişinău - Ungheni - frontiera cu România,,,,0,0
1324,Rîşcani,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,9,0,0,,,,,,0,0
1325,Rîşcani,12/12/2017 9:45,Strada Studenţilor - Strada Florilor,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,1,Chişinău,Chişinău,Chişinău,2017,12,9,1,ziua,,Strada Florilor,,,0,0
1326,Rîşcani,4/15/2019 8:31,strada Studenților x strada Florilor,tv8.md,1,0,1,0,0,0,0,Chișinău, ,https://youtu.be/rlKukR4ikzU,,https://youtu.be/rlKukR4ikzU,0,,,,0,,0,0,,,,3.1,Nerespectarea distanţei dintre vehicule,0,1
1327,Rîşcani,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,8,0,0,,,,,,0,0
1328,Alte,12/8/2017 8:00,Traseul M2 Dealul dintre Oraşul Orhei şi Satul Peresecina,protv.md,1,1,0,0,0,0,0,Orhei,http://images.protv.md/articles/2017/12/08/2094471/img_2677231_thumbs_600x440_4754861.jpg,Lipseşte,http://protv.md/stiri/actualitate/s-a-lunecat-a-intrat-pe-contrasens-si-s-a-lovit-intr-un-tir-o---2094471.html,,0,Orhei,Peresecina,,2017,12,8,4,ziua,Chișinău - Orhei - Bălți,,,,0,0
